Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
325400949;"2024-12-19 09:00:08";sell;0.62;EURUSD;1.03863;0;1.03807;"2024-12-19 14:09:56";1.04084;0;-1.86;-137.02;-22.1;18588
325393541;"2024-12-19 06:00:10";sell;0.56;EURUSD;1.03783;0;1.03807;"2024-12-19 14:09:56";1.04084;0;-1.68;-168.56;-30.1;29386
325406679;"2024-12-19 10:00:18";sell;0.68;EURUSD;1.03935;0;1.03807;"2024-12-19 14:09:55";1.04084;0;-2.04;-101.32;-14.9;14977
325412857;"2024-12-19 11:00:15";sell;0.74;EURUSD;1.0408;0;1.03807;"2024-12-19 14:09:54";1.04084;0;-2.22;-2.96;-0.4;11379
325418206;"2024-12-19 12:00:10";buy;0.63;GBPUSD;1.26588;0;1.26385;"2024-12-19 14:09:54";1.26138;0;-1.89;-283.5;-45;7784
325418210;"2024-12-19 12:00:12";buy;0.63;GBPUSD;1.26588;0;1.26418;"2024-12-19 14:09:53";1.26138;0;-1.89;-283.5;-45;7781
325418225;"2024-12-19 12:00:18";buy;0.56;EURUSD;1.04099;0;1.04175;"2024-12-19 14:09:52";1.04081;0;-1.68;-10.08;-1.8;7774
325418223;"2024-12-19 12:00:17";buy;0.56;EURUSD;1.04102;0;1.0418;"2024-12-19 14:09:52";1.04081;0;-1.68;-11.76;-2.1;7775
325422709;"2024-12-19 13:00:15";buy;0.69;GBPUSD;1.26382;0;1.26418;"2024-12-19 14:09:51";1.26133;0;-2.07;-171.81;-24.9;4176
325422715;"2024-12-19 13:00:17";buy;0.69;GBPUSD;1.26382;0;1.26385;"2024-12-19 14:09:50";1.26132;0;-2.07;-172.5;-25;4173
325422712;"2024-12-19 13:00:15";buy;0.62;EURUSD;1.04054;0;1.0418;"2024-12-19 14:09:50";1.04081;0;-1.86;16.74;2.7;4175
325428866;"2024-12-19 14:00:30";buy;0.76;GBPUSD;1.25882;0;1.26418;"2024-12-19 14:09:49";1.26132;0;-2.28;190;25;559
325422716;"2024-12-19 13:00:17";buy;0.62;EURUSD;1.04054;0;1.04175;"2024-12-19 14:09:49";1.04081;0;-1.86;16.74;2.7;4172
325428873;"2024-12-19 14:00:31";buy;0.68;EURUSD;1.04018;0;1.0418;"2024-12-19 14:09:48";1.04082;0;-2.04;43.52;6.4;557
325428893;"2024-12-19 14:00:35";buy;0.68;EURUSD;1.04013;0;1.04175;"2024-12-19 14:09:47";1.04079;0;-2.04;44.88;6.6;552
325428885;"2024-12-19 14:00:33";buy;0.76;GBPUSD;1.25866;0;1.26385;"2024-12-19 14:09:47";1.26133;0;-2.28;202.92;26.7;554
325406687;"2024-12-19 10:00:20";sell;0.84;GBPUSD;1.26102;0;1.26096;"2024-12-19 14:00:04";1.26025;0;-2.52;64.68;7.7;14384
325400950;"2024-12-19 09:00:17";sell;0.76;GBPUSD;1.25987;0;1.26096;"2024-12-19 14:00:04";1.26025;0;-2.28;-28.88;-3.8;17987
325388106;"2024-12-19 04:00:16";sell;0.63;GBPUSD;1.25896;0;1.26096;"2024-12-19 14:00:04";1.26052;0;-1.89;-98.28;-15.6;35988
325412865;"2024-12-19 11:00:18";sell;0.92;GBPUSD;1.26472;0;1.26096;"2024-12-19 14:00:04";1.26025;0;-2.76;411.24;44.7;10786
325391084;"2024-12-19 05:00:07";sell;0.69;GBPUSD;1.25955;0;1.26096;"2024-12-19 14:00:04";1.26025;0;-2.07;-48.3;-7;32397
325412862;"2024-12-19 11:00:16";buy;0.56;EURUSD;1.04088;0;1.04203;"2024-12-19 11:30:02";1.042;0;-1.68;62.72;11.2;1786
325412867;"2024-12-19 11:00:19";buy;0.56;EURUSD;1.04085;0;1.04202;"2024-12-19 11:30:02";1.042;0;-1.68;64.4;11.5;1783
325412878;"2024-12-19 11:00:23";buy;0.63;GBPUSD;1.26496;0;1.2661;"2024-12-19 11:25:51";1.26595;0;-1.89;62.37;9.9;1528
325412866;"2024-12-19 11:00:18";buy;0.63;GBPUSD;1.2648;0;1.26599;"2024-12-19 11:19:43";1.26593;0;-1.89;71.19;11.3;1165
325406683;"2024-12-19 10:00:19";buy;0.56;EURUSD;1.03932;0;1.04063;"2024-12-19 10:44:50";1.04064;0;-1.68;73.92;13.2;2671
325406682;"2024-12-19 10:00:18";buy;0.56;EURUSD;1.03936;0;1.0406;"2024-12-19 10:44:47";1.04055;0;-1.68;66.64;11.9;2669
325406706;"2024-12-19 10:00:22";buy;0.63;GBPUSD;1.26111;0;1.26227;"2024-12-19 10:08:21";1.26223;0;-1.89;70.56;11.2;479
325406714;"2024-12-19 10:00:24";buy;0.63;GBPUSD;1.26105;0;1.26227;"2024-12-19 10:08:20";1.26225;0;-1.89;75.6;12;476
325351709;"2024-12-18 21:00:40";buy;0.63;GBPUSD;1.26659;0;1.26074;"2024-12-19 09:13:22";1.26073;-4.35;-1.89;-369.18;-58.6;43962
325375560;"2024-12-19 01:00:10";buy;0.84;GBPUSD;1.25743;0;1.26074;"2024-12-19 09:13:22";1.26073;0;-2.52;277.2;33;29592
325371832;"2024-12-18 23:00:22";buy;0.76;GBPUSD;1.25807;0;1.26074;"2024-12-19 09:13:21";1.26073;-5.24;-2.28;202.16;26.6;36779
325363627;"2024-12-18 22:00:14";buy;0.69;GBPUSD;1.25943;0;1.26074;"2024-12-19 09:13:21";1.26073;-4.76;-2.07;89.7;13;40387
325379435;"2024-12-19 02:00:11";buy;0.92;GBPUSD;1.25698;0;1.26074;"2024-12-19 09:13:21";1.26073;0;-2.76;345;37.5;25990
325375557;"2024-12-19 01:00:07";buy;0.84;GBPUSD;1.25743;0;1.26064;"2024-12-19 09:10:46";1.26065;0;-2.52;270.48;32.2;29439
325371825;"2024-12-18 23:48:26";buy;0.76;GBPUSD;1.25765;0;1.26064;"2024-12-19 09:10:46";1.26065;-5.24;-2.28;228;30;33740
325351716;"2024-12-18 21:00:41";buy;0.63;GBPUSD;1.26667;0;1.26064;"2024-12-19 09:10:46";1.26065;-4.35;-1.89;-379.26;-60.2;43805
325363623;"2024-12-18 22:00:12";buy;0.69;GBPUSD;1.25943;0;1.26064;"2024-12-19 09:10:46";1.26065;-4.76;-2.07;84.18;12.2;40234
325379433;"2024-12-19 02:00:10";buy;0.92;GBPUSD;1.25698;0;1.26064;"2024-12-19 09:10:46";1.26065;0;-2.76;337.64;36.7;25836
325375556;"2024-12-19 01:00:06";buy;0.82;EURUSD;1.03563;0;1.03927;"2024-12-19 09:02:37";1.03929;0;-2.46;300.12;36.6;28951
325371840;"2024-12-18 23:00:24";buy;0.68;EURUSD;1.03693;0;1.03927;"2024-12-19 09:02:37";1.03929;-14.67;-2.04;160.48;23.6;36133
325351505;"2024-12-18 21:00:21";buy;0.56;EURUSD;1.04618;0;1.03927;"2024-12-19 09:02:36";1.03926;-12.08;-1.68;-387.52;-69.2;43335
325363647;"2024-12-18 22:00:23";buy;0.62;EURUSD;1.03782;0;1.03927;"2024-12-19 09:02:36";1.03926;-13.37;-1.86;89.28;14.4;39733
325371829;"2024-12-18 23:00:19";buy;0.68;EURUSD;1.03677;0;1.0392;"2024-12-19 09:02:20";1.03921;-14.67;-2.04;165.92;24.4;36121
325351496;"2024-12-18 21:00:20";buy;0.56;EURUSD;1.04602;0;1.0392;"2024-12-19 09:02:20";1.03921;-12.08;-1.68;-381.36;-68.1;43320
325363645;"2024-12-18 22:00:22";buy;0.62;EURUSD;1.03779;0;1.0392;"2024-12-19 09:02:20";1.03921;-13.37;-1.86;88.04;14.2;39718
325375554;"2024-12-19 01:00:06";buy;0.82;EURUSD;1.03543;0;1.0392;"2024-12-19 09:02:20";1.03921;0;-2.46;309.96;37.8;28934
325391081;"2024-12-19 05:00:07";sell;0.56;EURUSD;1.03901;0;1.03782;"2024-12-19 05:08:24";1.03781;0;-1.68;67.2;12;497
325337896;"2024-12-18 18:00:09";sell;0.56;EURUSD;1.04737;0;1.04619;"2024-12-18 21:00:07";1.04632;0;-1.68;58.8;10.5;10798
325347548;"2024-12-18 20:00:14";sell;0.69;GBPUSD;1.27048;0;1.26872;"2024-12-18 21:00:06";1.26874;0;-2.07;120.06;17.4;3592
325343786;"2024-12-18 19:00:15";sell;0.63;GBPUSD;1.26925;0;1.26872;"2024-12-18 21:00:06";1.26874;0;-1.89;32.13;5.1;7191
325347549;"2024-12-18 20:00:14";buy;0.63;GBPUSD;1.27056;0;1.27173;"2024-12-18 20:45:51";1.27177;0;-1.89;76.23;12.1;2737
