Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
59547005;"2024-12-31 10:00:21";buy;0.45;GBPUSD;1.25609;1.2161;1.25628;"2024-12-31 14:56:55";1.2535;0;-1.35;-116.55;-25.9;17794
59547004;"2024-12-31 10:00:21";buy;0.45;GBPUSD;1.25609;1.2161;1.25629;"2024-12-31 14:56:55";1.2535;0;-1.35;-116.55;-25.9;17794
59549880;"2024-12-31 11:00:25";buy;0.50;GBPUSD;1.25541;1.2154;1.25629;"2024-12-31 14:56:54";1.25349;0;-1.5;-96;-19.2;14189
59549876;"2024-12-31 11:00:22";buy;0.50;GBPUSD;1.25538;1.2154;1.25628;"2024-12-31 14:56:54";1.25349;0;-1.5;-94.5;-18.9;14192
59554823;"2024-12-31 13:00:08";buy;0.55;GBPUSD;1.25519;1.21519;1.25629;"2024-12-31 14:56:53";1.25349;0;-1.65;-93.5;-17;7005
59554828;"2024-12-31 13:00:10";buy;0.55;GBPUSD;1.25517;1.21517;1.25628;"2024-12-31 14:56:53";1.25349;0;-1.65;-92.4;-16.8;7003
59557167;"2024-12-31 14:00:13";sell;0.45;GBPUSD;1.25389;1.29388;1.25274;"2024-12-31 14:56:52";1.2536;0;-1.35;13.05;2.9;3399
59557170;"2024-12-31 14:00:14";buy;0.60;GBPUSD;1.25399;1.21398;1.25628;"2024-12-31 14:56:51";1.2535;0;-1.8;-29.4;-4.9;3397
59557171;"2024-12-31 14:00:16";buy;0.60;GBPUSD;1.25398;1.21398;1.25629;"2024-12-31 14:56:51";1.25347;0;-1.8;-30.6;-5.1;3395
59507622;"2024-12-30 18:46:52";sell;0.40;EURUSD;1.0386;1.0786;1.0393;"2024-12-31 14:56:43";1.0393;0.87;-1.2;-28;-7;72591
59536896;"2024-12-31 04:00:17";sell;0.53;EURUSD;1.04122;1.08122;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.59;101.76;19.2;39386
59536887;"2024-12-31 04:00:08";sell;0.53;EURUSD;1.04122;1.08122;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.59;101.76;19.2;39395
59519711;"2024-12-30 21:00:18";sell;0.49;EURUSD;1.04049;1.08049;1.0393;"2024-12-31 14:56:43";1.0393;1.07;-1.47;58.31;11.9;64585
59515521;"2024-12-30 20:00:10";sell;0.44;EURUSD;1.03944;1.07942;1.0393;"2024-12-31 14:56:43";1.0393;0.96;-1.32;6.16;1.4;68193
59507620;"2024-12-30 18:46:51";sell;0.40;EURUSD;1.0386;1.0786;1.0393;"2024-12-31 14:56:43";1.0393;0.87;-1.2;-28;-7;72592
59515533;"2024-12-30 20:00:12";sell;0.44;EURUSD;1.03944;1.07942;1.0393;"2024-12-31 14:56:43";1.0393;0.96;-1.32;6.16;1.4;68191
59519712;"2024-12-30 21:00:20";sell;0.49;EURUSD;1.04049;1.08049;1.0393;"2024-12-31 14:56:43";1.0393;1.07;-1.47;58.31;11.9;64583
59549865;"2024-12-31 11:00:16";sell;0.59;EURUSD;1.04183;1.08187;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.77;149.27;25.3;14187
59519708;"2024-12-30 21:00:16";sell;0.49;EURUSD;1.0405;1.08049;1.0393;"2024-12-31 14:56:43";1.0393;1.07;-1.47;58.8;12;64587
59536895;"2024-12-31 04:00:16";sell;0.53;EURUSD;1.04122;1.08122;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.59;101.76;19.2;39387
59549866;"2024-12-31 11:00:16";sell;0.59;EURUSD;1.04183;1.08187;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.77;149.27;25.3;14187
59515527;"2024-12-30 20:00:11";sell;0.44;EURUSD;1.03944;1.07942;1.0393;"2024-12-31 14:56:43";1.0393;0.96;-1.32;6.16;1.4;68192
59549874;"2024-12-31 11:00:21";sell;0.59;EURUSD;1.04174;1.08175;1.0393;"2024-12-31 14:56:43";1.0393;0;-1.77;143.96;24.4;14182
59507619;"2024-12-30 18:46:50";sell;0.40;EURUSD;1.0386;1.0786;1.0393;"2024-12-31 14:56:43";1.0393;0.87;-1.2;-28;-7;72593
59554820;"2024-12-31 13:00:07";sell;0.45;GBPUSD;1.25509;1.29509;1.25392;"2024-12-31 13:32:39";1.2539;0;-1.35;53.55;11.9;1952
59519699;"2024-12-30 21:00:09";sell;0.55;GBPUSD;1.25553;1.29555;1.25337;"2024-12-31 12:29:36";1.25334;-1.27;-1.65;120.45;21.9;55767
59509106;"2024-12-30 19:00:09";sell;0.45;GBPUSD;1.2521;1.29211;1.25337;"2024-12-31 12:29:36";1.25334;-1.04;-1.35;-55.8;-12.4;62967
59515545;"2024-12-30 20:00:16";sell;0.50;GBPUSD;1.25444;1.29442;1.25337;"2024-12-31 12:29:36";1.25334;-1.15;-1.5;55;11;59360
59536899;"2024-12-31 04:00:17";sell;0.60;GBPUSD;1.25578;1.29578;1.25337;"2024-12-31 12:29:36";1.25334;0;-1.8;146.4;24.4;30559
59522890;"2024-12-30 22:00:08";buy;0.50;GBPUSD;1.25431;1.21431;1.25617;"2024-12-31 09:42:57";1.2562;-1.15;-1.5;94.5;18.9;42169
59519706;"2024-12-30 21:00:14";buy;0.45;GBPUSD;1.25568;1.21568;1.25617;"2024-12-31 09:42:57";1.2562;-1.04;-1.35;23.4;5.2;45763
59519709;"2024-12-30 21:00:16";buy;0.45;GBPUSD;1.25572;1.21573;1.25612;"2024-12-31 09:42:48";1.25613;-1.04;-1.35;18.45;4.1;45752
59522901;"2024-12-30 22:00:17";buy;0.50;GBPUSD;1.25431;1.21431;1.25612;"2024-12-31 09:42:48";1.25613;-1.15;-1.5;91;18.2;42151
59515551;"2024-12-30 20:00:18";buy;0.45;GBPUSD;1.2546;1.21449;1.25569;"2024-12-30 20:56:40";1.25565;0;-1.35;47.25;10.5;3382
59515547;"2024-12-30 20:00:17";buy;0.45;GBPUSD;1.25461;1.21449;1.25568;"2024-12-30 20:56:40";1.25565;0;-1.35;46.8;10.4;3383
59509109;"2024-12-30 19:00:11";buy;0.45;GBPUSD;1.25219;1.21219;1.2533;"2024-12-30 19:21:15";1.25331;0;-1.35;50.4;11.2;1264
59509111;"2024-12-30 19:00:12";buy;0.45;GBPUSD;1.25218;1.21219;1.2533;"2024-12-30 19:21:15";1.25331;0;-1.35;50.85;11.3;1263
59494359;"2024-12-30 17:00:13";buy;0.45;GBPUSD;1.2555;1.21549;1.25441;"2024-12-30 18:43:29";1.2521;0;-1.35;-153;-34;6196
59502141;"2024-12-30 18:00:11";buy;0.50;GBPUSD;1.25117;1.21117;1.25442;"2024-12-30 18:43:29";1.2521;0;-1.5;46.5;9.3;2598
59494357;"2024-12-30 17:00:13";buy;0.45;GBPUSD;1.2555;1.2155;1.25442;"2024-12-30 18:43:28";1.25208;0;-1.35;-153.9;-34.2;6195
59502152;"2024-12-30 18:00:15";buy;0.50;GBPUSD;1.25125;1.21118;1.25441;"2024-12-30 18:43:27";1.25208;0;-1.5;41.5;8.3;2592
59502138;"2024-12-30 18:00:11";sell;0.45;GBPUSD;1.25111;1.2911;1.24996;"2024-12-30 18:43:27";1.25219;0;-1.35;-48.6;-10.8;2596
59494349;"2024-12-30 17:00:10";sell;0.45;GBPUSD;1.25538;1.2954;1.25425;"2024-12-30 17:13:24";1.25427;0;-1.35;49.95;11.1;794
59482622;"2024-12-30 16:00:14";sell;0.45;GBPUSD;1.25558;1.29557;1.25433;"2024-12-30 16:38:07";1.25433;0;-1.35;56.25;12.5;2273
59482593;"2024-12-30 16:00:08";sell;0.45;GBPUSD;1.25549;1.29553;1.25435;"2024-12-30 16:38:06";1.25438;0;-1.35;49.95;11.1;2278
59482623;"2024-12-30 16:00:15";sell;0.45;GBPUSD;1.25557;1.29558;1.25437;"2024-12-30 16:38:06";1.25438;0;-1.35;53.55;11.9;2271
59121654;"2024-12-26 01:00:09";sell;0.53;EURUSD;1.04015;1.08014;1.03839;"2024-12-30 16:01:35";1.03837;2.32;-1.59;94.34;17.8;399686
